,Job Title,Company,Location,Date,Month,Count,Category
925,Videographer Editor,And Beyond Mena,"Mount Lebanon, Lebanon",8/13/21,8,1,Cinema
926,Pharmacist,Pharmacie Biosant̩,"Mount Lebanon, Lebanon",8/5/21,8,1,Pharmacist
927,Marketing Intern,Eddy'S Group,"Mount Lebanon, Lebanon",8/9/21,8,1,Marketer
929,Accountant,Zaatar W Zeit,"Mount Lebanon, Lebanon",8/19/21,8,1,Accountant
930,Digital Marketer,Feer Mcqueen,"Mount Lebanon, Lebanon",8/9/21,8,1,Marketer
931,Digital Marketing Manager,Amags Global,"Mount Lebanon, Lebanon",8/20/21,8,1,Marketer
932,Unity Developer,Black Lemon,"Mount Lebanon, Lebanon",8/21/21,8,1,Software Developer
933,Bim Coordinator,A-Consult Dolly Debs Architects,"Mount Lebanon, Lebanon",8/10/21,8,1,Coordinator
935,Jewelry Matrix Designer/Operator,Jewelry,"Mount Lebanon, Lebanon",8/17/21,8,1,Operator
936,Real Estate Sales Agent,Phoenicia Real Estate,"Mount Lebanon, Lebanon",8/18/21,8,1,Sales Person
937,Graphic Designer,Rubicom Agency,"Mount Lebanon, Lebanon",8/9/21,8,1,Designer
965,Graphic Designer,Bloom Authentic Outlets,"North, Lebanon",8/9/21,8,1,Designer
966,Digital Marketing & Communication Officer,Medicals International,"Mount Lebanon, Lebanon",8/3/21,8,1,Marketer
967,Senior Art Director,Gabriel Bocti Sal,"Mount Lebanon, Lebanon",8/17/21,8,1,Art
968,Legal Officer - Qobayat,International Rescue Committee,"Akkar, Lebanon",8/11/21,8,1,Officer
969,M&E Officer - Akkar,International Rescue Committee,"Akkar, Lebanon",8/15/21,8,1,Officer
970,M&E Officer - Akkar,International Rescue Committee,"Akkar, Lebanon",8/15/21,8,1,Officer
972,Creative Bilingual Copywriter,Ethos Interactive,"Mount Lebanon, Lebanon",8/6/21,8,1,Copywriter
973,Preschool English Teacher,Goodwill International School,"Mount Lebanon, Lebanon",8/4/21,8,1,Teacher
975,Senior Digital Designer,Ethos Interactive,"Mount Lebanon, Lebanon",8/19/21,8,1,Designer
976,Academic Computer Center Supervisor,Lebanese American University,"Mount Lebanon, Lebanon",7/23/21,7,1,advisor
977,Acount Manager Iot Tracking Solutions,Malia Group,"Mount Lebanon, Lebanon",7/27/21,7,1,Manager
978,Auditor,Ek Finance,"Mount Lebanon, Lebanon",7/12/21,7,1,Accountant
980,Biologist,Sanondaf Lb,"Mount Lebanon, Lebanon",7/12/21,7,1,Scientist
981,Branch Manager,Flexzone Gymnastics,"Mount Lebanon, Lebanon",7/8/21,7,1,Manager
982,Busines Aplications Specialist,Chedid Capital,"Mount Lebanon, Lebanon",7/15/21,7,1,Business Specialist
983,Comercial Manager,Gboard,"Mount Lebanon, Lebanon",7/29/21,7,1,Manager
984,Computer Science Teacher,Plc Profesional Learning Center,"Mount Lebanon, Lebanon",7/10/21,7,1,Teacher
985,Creative Copywriter,Ethos Interactive,"Mount Lebanon, Lebanon",7/28/21,7,1,Copywriter
986,Data Integration Enginer,Apgar Consulting,"Mount Lebanon, Lebanon",7/28/21,7,1,Analyst
987,Digital Marketing Manager,Amags Global,"Mount Lebanon, Lebanon",7/19/21,7,1,Marketer
990,Embeded System Enginer,S A S Coltd Security Automation Systems,"Mount Lebanon, Lebanon",7/29/21,7,1,Engineer
991,English Teacher,Sabis ,"Mount Lebanon, Lebanon",7/29/21,7,1,Teacher
992,Executive Asistant To Chief Executive Oficer,Prosec Profesional Security,"Mount Lebanon, Lebanon",7/13/21,7,1,Associate
995,Financialegal Arabic English Lead Translator Neded In Lebanon,Rws Group,"Mount Lebanon, Lebanon",7/27/21,7,1,Finance Specialist
996,French Teacher,Sabis ,"Mount Lebanon, Lebanon",7/7/21,7,1,Teacher
997,Frontend Developer,Smartechbay,"Mount Lebanon, Lebanon",7/28/21,7,1,Software Developer
998,Full Time Masage Therapist For A  Star Hotel Spa In Lebanon ,Spa Stafcom,"Mount Lebanon, Lebanon",7/1/21,7,1,Therapist
999,Full Time Masage Therapist For A Day Spa In Lebanon ,Spa Stafcom,"Mount Lebanon, Lebanon",7/1/21,7,1,Therapist
