Skill,Category of Skill,Importance_n,Level,Code,Profession,Importance1
Equipment Maintenance,Technical Skills,44,34,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",44
Repairing,Technical Skills,44,34,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",44
Time Management,Resource Management Skills,41,34,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",41
Equipment Selection,Technical Skills,41,32,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",41
Active Listening ,Basic Skills,69,43,53-3031.00,Driver/Sales Worker,69
Speaking,Basic Skills,66,41,53-3031.00,Driver/Sales Worker,66
Critical Thinking,Basic Skills,53,48,53-3031.00,Driver/Sales Worker,53
Sevice Orientation,Social Skills,53,43,53-3031.00,Driver/Sales Worker,53
Reading Comprehension,Basic Skills,50,43,53-3031.00,Driver/Sales Worker,50
Social Perceptiveness,Social Skills,50,41,53-3031.00,Driver/Sales Worker,50
Complex Problem Solving,Complex Problem Solving,50,41,53-3031.00,Driver/Sales Worker,50
Time Management,Resource Management Skills,50,39,53-3031.00,Driver/Sales Worker,50
Persuasion,Social Skills,47,43,53-3031.00,Driver/Sales Worker,47
Judgement and Decision Making,Systems Skills,47,39,53-3031.00,Driver/Sales Worker,47
Active learning ,Basic Skills,44,30,53-3031.00,Driver/Sales Worker,44
Writing,Basic Skills,44,43,53-3031.00,Driver/Sales Worker,44
Coordination,Social Skills,44,41,53-3031.00,Driver/Sales Worker,44
Negotiation,Social Skills,44,41,53-3031.00,Driver/Sales Worker,44
Operation and Control,Technical Skills,44,34,53-3031.00,Driver/Sales Worker,44
Critical Thinking,Basic Skills,50,37,47-2081.00,Drywall and Ceiling Tile Installer,50
Speaking,Basic Skills,47,32,47-2081.00,Drywall and Ceiling Tile Installer,47
Coordination,Social Skills,47,45,47-2081.00,Drywall and Ceiling Tile Installer,47
Time Management,Resource Management Skills,47,37,47-2081.00,Drywall and Ceiling Tile Installer,47
Judgement and Decision Making,Systems Skills,47,36,47-2081.00,Drywall and Ceiling Tile Installer,47
Active Listening ,Basic Skills,44,34,47-2081.00,Drywall and Ceiling Tile Installer,44
Reading Comprehension,Basic Skills,44,39,47-2081.00,Drywall and Ceiling Tile Installer,44
Complex Problem Solving,Complex Problem Solving,41,36,47-2081.00,Drywall and Ceiling Tile Installer,41
Operation Monitoring,Technical Skills,75,57,47-5023.00,"Earth Drillers, Except Oil and Ga",75
Operation and Control,Technical Skills,72,57,47-5023.00,"Earth Drillers, Except Oil and Ga",72
Critical Thinking,Basic Skills,56,43,47-5023.00,"Earth Drillers, Except Oil and Ga",56
Equipment Maintenance,Technical Skills,56,46,47-5023.00,"Earth Drillers, Except Oil and Ga",56
Active Listening ,Basic Skills,50,43,47-5023.00,"Earth Drillers, Except Oil and Ga",50
Speaking,Basic Skills,50,41,47-5023.00,"Earth Drillers, Except Oil and Ga",50
Coordination,Social Skills,50,43,47-5023.00,"Earth Drillers, Except Oil and Ga",50
Complex Problem Solving,Complex Problem Solving,50,39,47-5023.00,"Earth Drillers, Except Oil and Ga",50
Equipment Selection,Technical Skills,50,36,47-5023.00,"Earth Drillers, Except Oil and Ga",50
Quality Control Analysis,Technical Skills,50,43,47-5023.00,"Earth Drillers, Except Oil and Ga",50
Troubleshooting,Technical Skills,50,43,47-5023.00,"Earth Drillers, Except Oil and Ga",50
Time Management,Resource Management Skills,47,32,47-5023.00,"Earth Drillers, Except Oil and Ga",47
Judgement and Decision Making,Systems Skills,47,37,47-5023.00,"Earth Drillers, Except Oil and Ga",47
Repairing,Technical Skills,47,43,47-5023.00,"Earth Drillers, Except Oil and Ga",47
Active learning ,Basic Skills,44,32,47-5023.00,"Earth Drillers, Except Oil and Ga",44
Reading Comprehension,Basic Skills,44,36,47-5023.00,"Earth Drillers, Except Oil and Ga",44
Instructing,Social Skills,44,39,47-5023.00,"Earth Drillers, Except Oil and Ga",44
Social Perceptiveness,Social Skills,41,30,47-5023.00,"Earth Drillers, Except Oil and Ga",41
Speaking,Basic Skills,78,61,25-1063.00,"Economics Teachers, Postsecondary",78
Active Listening ,Basic Skills,75,59,25-1063.00,"Economics Teachers, Postsecondary",75
Reading Comprehension,Basic Skills,75,63,25-1063.00,"Economics Teachers, Postsecondary",75
Writing,Basic Skills,75,59,25-1063.00,"Economics Teachers, Postsecondary",75
Instructing,Social Skills,75,61,25-1063.00,"Economics Teachers, Postsecondary",75
Critical Thinking,Basic Skills,72,59,25-1063.00,"Economics Teachers, Postsecondary",72
Learning Strategies,Basic Skills,72,57,25-1063.00,"Economics Teachers, Postsecondary",72
Active learning ,Basic Skills,69,59,25-1063.00,"Economics Teachers, Postsecondary",69
Judgement and Decision Making,Systems Skills,60,55,25-1063.00,"Economics Teachers, Postsecondary",60
Complex Problem Solving,Complex Problem Solving,56,52,25-1063.00,"Economics Teachers, Postsecondary",56
Systems Evaluation,Systems Skills,53,45,25-1063.00,"Economics Teachers, Postsecondary",53
Social Perceptiveness,Social Skills,50,50,25-1063.00,"Economics Teachers, Postsecondary",50
Systems Analysis,Systems Skills,50,45,25-1063.00,"Economics Teachers, Postsecondary",50
Coordination,Social Skills,47,43,25-1063.00,"Economics Teachers, Postsecondary",47
Time Management,Resource Management Skills,47,43,25-1063.00,"Economics Teachers, Postsecondary",47
Sevice Orientation,Social Skills,44,39,25-1063.00,"Economics Teachers, Postsecondary",44
Management of Personnel Resources,Resource Management Skills,44,37,25-1063.00,"Economics Teachers, Postsecondary",44
Persuasion,Social Skills,41,36,25-1063.00,"Economics Teachers, Postsecondary",41
Operations Analysis,Technical Skills,41,39,25-1063.00,"Economics Teachers, Postsecondary",41
Critical Thinking,Basic Skills,78,64,19-3011.00,Economist,78
Reading Comprehension,Basic Skills,78,68,19-3011.00,Economist,78
Active Listening ,Basic Skills,75,57,19-3011.00,Economist,75
Speaking,Basic Skills,75,61,19-3011.00,Economist,75
Writing,Basic Skills,75,61,19-3011.00,Economist,75
Judgement and Decision Making,Systems Skills,75,57,19-3011.00,Economist,75
Active learning ,Basic Skills,72,57,19-3011.00,Economist,72
Complex Problem Solving,Complex Problem Solving,72,59,19-3011.00,Economist,72
Instructing,Social Skills,63,45,19-3011.00,Economist,63
Systems Analysis,Systems Skills,60,55,19-3011.00,Economist,60
Systems Evaluation,Systems Skills,56,54,19-3011.00,Economist,56
Learning Strategies,Basic Skills,53,50,19-3011.00,Economist,53
Coordination,Social Skills,50,45,19-3011.00,Economist,50
Persuasion,Social Skills,50,52,19-3011.00,Economist,50
Sevice Orientation,Social Skills,50,41,19-3011.00,Economist,50
Time Management,Resource Management Skills,50,43,19-3011.00,Economist,50
Social Perceptiveness,Social Skills,47,41,19-3011.00,Economist,47
Operations Analysis,Technical Skills,44,41,19-3011.00,Economist,44
Management of Personnel Resources,Resource Management Skills,41,34,19-3011.00,Economist,41
Reading Comprehension,Basic Skills,97,73,27-3041.00,Editor,97
Writing,Basic Skills,81,71,27-3041.00,Editor,81
Active Listening ,Basic Skills,72,57,27-3041.00,Editor,72
Critical Thinking,Basic Skills,72,57,27-3041.00,Editor,72
Speaking,Basic Skills,69,57,27-3041.00,Editor,69
Time Management,Resource Management Skills,60,57,27-3041.00,Editor,60
Quality Control Analysis,Technical Skills,56,46,27-3041.00,Editor,56
Active learning ,Basic Skills,53,55,27-3041.00,Editor,53
Social Perceptiveness,Social Skills,53,50,27-3041.00,Editor,53
Complex Problem Solving,Complex Problem Solving,53,45,27-3041.00,Editor,53
Judgement and Decision Making,Systems Skills,53,48,27-3041.00,Editor,53
Systems Analysis,Systems Skills,53,45,27-3041.00,Editor,53
Coordination,Social Skills,50,48,27-3041.00,Editor,50
Instructing,Social Skills,50,45,27-3041.00,Editor,50
Negotiation,Social Skills,50,50,27-3041.00,Editor,50
Persuasion,Social Skills,50,48,27-3041.00,Editor,50
Management of Personnel Resources,Resource Management Skills,50,48,27-3041.00,Editor,50
Learning Strategies,Basic Skills,47,43,27-3041.00,Editor,47
Sevice Orientation,Social Skills,41,39,27-3041.00,Editor,41
Active Listening ,Basic Skills,85,64,11-9032.00,"Education Administrators, Kindergarten through Secondary",85
Speaking,Basic Skills,85,63,11-9032.00,"Education Administrators, Kindergarten through Secondary",85
Critical Thinking,Basic Skills,81,63,11-9032.00,"Education Administrators, Kindergarten through Secondary",81
Learning Strategies,Basic Skills,81,66,11-9032.00,"Education Administrators, Kindergarten through Secondary",81
Reading Comprehension,Basic Skills,81,66,11-9032.00,"Education Administrators, Kindergarten through Secondary",81
Social Perceptiveness,Social Skills,81,61,11-9032.00,"Education Administrators, Kindergarten through Secondary",81
Writing,Basic Skills,78,63,11-9032.00,"Education Administrators, Kindergarten through Secondary",78
Judgement and Decision Making,Systems Skills,78,63,11-9032.00,"Education Administrators, Kindergarten through Secondary",78
Coordination,Social Skills,75,59,11-9032.00,"Education Administrators, Kindergarten through Secondary",75
Complex Problem Solving,Complex Problem Solving,75,61,11-9032.00,"Education Administrators, Kindergarten through Secondary",75
Management of Personnel Resources,Resource Management Skills,75,63,11-9032.00,"Education Administrators, Kindergarten through Secondary",75
Active learning ,Basic Skills,72,59,11-9032.00,"Education Administrators, Kindergarten through Secondary",72
Instructing,Social Skills,72,59,11-9032.00,"Education Administrators, Kindergarten through Secondary",72
Sevice Orientation,Social Skills,72,55,11-9032.00,"Education Administrators, Kindergarten through Secondary",72
Time Management,Resource Management Skills,72,59,11-9032.00,"Education Administrators, Kindergarten through Secondary",72
Systems Evaluation,Systems Skills,72,61,11-9032.00,"Education Administrators, Kindergarten through Secondary",72
Negotiation,Social Skills,66,55,11-9032.00,"Education Administrators, Kindergarten through Secondary",66
Persuasion,Social Skills,60,57,11-9032.00,"Education Administrators, Kindergarten through Secondary",60
Management of Financial Resources,Resource Management Skills,60,57,11-9032.00,"Education Administrators, Kindergarten through Secondary",60
Systems Analysis,Systems Skills,60,55,11-9032.00,"Education Administrators, Kindergarten through Secondary",60
Management of Material Resources,Resource Management Skills,53,46,11-9032.00,"Education Administrators, Kindergarten through Secondary",53
Quality Control Analysis,Technical Skills,47,43,11-9032.00,"Education Administrators, Kindergarten through Secondary",47
Critical Thinking,Basic Skills,78,61,11-9033.00,"Education Administrators, Postsecondary",78
Reading Comprehension,Basic Skills,78,66,11-9033.00,"Education Administrators, Postsecondary",78
Active Listening ,Basic Skills,75,61,11-9033.00,"Education Administrators, Postsecondary",75
Speaking,Basic Skills,75,61,11-9033.00,"Education Administrators, Postsecondary",75
Writing,Basic Skills,75,61,11-9033.00,"Education Administrators, Postsecondary",75
Instructing,Social Skills,75,57,11-9033.00,"Education Administrators, Postsecondary",75
Time Management,Resource Management Skills,75,57,11-9033.00,"Education Administrators, Postsecondary",75
Active learning ,Basic Skills,72,57,11-9033.00,"Education Administrators, Postsecondary",72
Complex Problem Solving,Complex Problem Solving,72,57,11-9033.00,"Education Administrators, Postsecondary",72
Judgement and Decision Making,Systems Skills,72,57,11-9033.00,"Education Administrators, Postsecondary",72
Learning Strategies,Basic Skills,69,57,11-9033.00,"Education Administrators, Postsecondary",69
Social Perceptiveness,Social Skills,69,57,11-9033.00,"Education Administrators, Postsecondary",69
Management of Personnel Resources,Resource Management Skills,69,57,11-9033.00,"Education Administrators, Postsecondary",69
Coordination,Social Skills,66,57,11-9033.00,"Education Administrators, Postsecondary",66
Negotiation,Social Skills,66,54,11-9033.00,"Education Administrators, Postsecondary",66
Persuasion,Social Skills,66,54,11-9033.00,"Education Administrators, Postsecondary",66
Sevice Orientation,Social Skills,63,55,11-9033.00,"Education Administrators, Postsecondary",63
Systems Analysis,Systems Skills,56,54,11-9033.00,"Education Administrators, Postsecondary",56
Systems Evaluation,Systems Skills,56,54,11-9033.00,"Education Administrators, Postsecondary",56
Management of Financial Resources,Resource Management Skills,53,45,11-9033.00,"Education Administrators, Postsecondary",53
Management of Material Resources,Resource Management Skills,47,50,11-9033.00,"Education Administrators, Postsecondary",47
Active Listening ,Basic Skills,75,57,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",75
Critical Thinking,Basic Skills,75,57,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",75
Reading Comprehension,Basic Skills,75,59,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",75
Speaking,Basic Skills,75,57,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",75
Coordination,Social Skills,75,57,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",75
Instructing,Social Skills,72,55,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",72
Sevice Orientation,Social Skills,72,57,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",72
Social Perceptiveness,Social Skills,72,55,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",72
Complex Problem Solving,Complex Problem Solving,72,50,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",72
Judgement and Decision Making,Systems Skills,72,55,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",72
Writing,Basic Skills,69,57,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",69
Management of Personnel Resources,Resource Management Skills,69,57,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",69
Time Management,Resource Management Skills,69,55,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",69
Learning Strategies,Basic Skills,66,55,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",66
Negotiation,Social Skills,66,52,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",66
Active learning ,Basic Skills,63,55,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",63
Persuasion,Social Skills,60,50,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",60
Management of Financial Resources,Resource Management Skills,53,46,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",53
Management of Material Resources,Resource Management Skills,53,45,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",53
Systems Analysis,Systems Skills,53,45,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",53
Systems Evaluation,Systems Skills,53,48,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",53
Speaking,Basic Skills,91,70,25-1081.00,"Education Teachers, Postsecondary",91
Reading Comprehension,Basic Skills,81,70,25-1081.00,"Education Teachers, Postsecondary",81
Active Listening ,Basic Skills,78,66,25-1081.00,"Education Teachers, Postsecondary",78
Learning Strategies,Basic Skills,78,64,25-1081.00,"Education Teachers, Postsecondary",78
Instructing,Social Skills,78,61,25-1081.00,"Education Teachers, Postsecondary",78
Active learning ,Basic Skills,75,61,25-1081.00,"Education Teachers, Postsecondary",75
Writing,Basic Skills,75,70,25-1081.00,"Education Teachers, Postsecondary",75
Critical Thinking,Basic Skills,69,57,25-1081.00,"Education Teachers, Postsecondary",69
Complex Problem Solving,Complex Problem Solving,69,57,25-1081.00,"Education Teachers, Postsecondary",69
Time Management,Resource Management Skills,63,50,25-1081.00,"Education Teachers, Postsecondary",63
Social Perceptiveness,Social Skills,56,52,25-1081.00,"Education Teachers, Postsecondary",56
Judgement and Decision Making,Systems Skills,53,57,25-1081.00,"Education Teachers, Postsecondary",53
Systems Analysis,Systems Skills,53,46,25-1081.00,"Education Teachers, Postsecondary",53
Systems Evaluation,Systems Skills,53,46,25-1081.00,"Education Teachers, Postsecondary",53
Coordination,Social Skills,50,43,25-1081.00,"Education Teachers, Postsecondary",50
Sevice Orientation,Social Skills,50,41,25-1081.00,"Education Teachers, Postsecondary",50
Negotiation,Social Skills,47,41,25-1081.00,"Education Teachers, Postsecondary",47
Persuasion,Social Skills,47,41,25-1081.00,"Education Teachers, Postsecondary",47
Management of Personnel Resources,Resource Management Skills,44,43,25-1081.00,"Education Teachers, Postsecondary",44
Operations Analysis,Technical Skills,41,37,25-1081.00,"Education Teachers, Postsecondary",41
Active Listening ,Basic Skills,85,59,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",85
Speaking,Basic Skills,81,57,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",81
Social Perceptiveness,Social Skills,81,73,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",81
Reading Comprehension,Basic Skills,78,61,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",78
Sevice Orientation,Social Skills,78,57,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",78
Critical Thinking,Basic Skills,75,57,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",75
Writing,Basic Skills,75,57,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",75
Active learning ,Basic Skills,72,55,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",72
Coordination,Social Skills,72,55,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",72
Instructing,Social Skills,72,50,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",72
Persuasion,Social Skills,72,55,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",72
Complex Problem Solving,Complex Problem Solving,72,54,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",72
Judgement and Decision Making,Systems Skills,72,57,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",72
Learning Strategies,Basic Skills,69,52,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",69
Negotiation,Social Skills,69,46,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",69
Time Management,Resource Management Skills,60,55,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",60
Systems Analysis,Systems Skills,56,45,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",56
Systems Evaluation,Systems Skills,53,48,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",53
Management of Personnel Resources,Resource Management Skills,50,43,21-1012.00,"Educational, Guidance, and Career Counselors and Advisor",50
Repairing,Technical Skills,78,57,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",78
Equipment Maintenance,Technical Skills,72,54,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",72
Troubleshooting,Technical Skills,72,55,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",72
Critical Thinking,Basic Skills,69,48,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",69
Equipment Selection,Technical Skills,69,43,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",69
Quality Control Analysis,Technical Skills,69,52,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",69
Complex Problem Solving,Complex Problem Solving,66,43,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",66
Operation Monitoring,Technical Skills,63,48,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",63
Operation and Control,Technical Skills,56,43,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",56
Active Listening ,Basic Skills,53,43,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",53
Judgement and Decision Making,Systems Skills,53,43,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",53
Reading Comprehension,Basic Skills,50,43,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",50
Speaking,Basic Skills,50,43,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",50
Systems Analysis,Systems Skills,50,41,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",50
Installation,Technical Skills,50,41,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",50
Active learning ,Basic Skills,47,45,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",47
Writing,Basic Skills,47,39,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",47
Coordination,Social Skills,47,41,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",47
Time Management,Resource Management Skills,47,41,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",47
Learning Strategies,Basic Skills,44,39,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",44
Sevice Orientation,Social Skills,44,39,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",44
Social Perceptiveness,Social Skills,44,39,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",44
Systems Evaluation,Systems Skills,44,39,49-2092.00,"Electric Motor, Power Tool, and Related Repairer",44
Critical Thinking,Basic Skills,67,54,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,67
Reading Comprehension,Basic Skills,64,58,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,64
Complex Problem Solving,Complex Problem Solving,63,50,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,63
Active Listening ,Basic Skills,60,51,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,60
Troubleshooting,Technical Skills,57,50,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,57
Speaking,Basic Skills,56,48,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,56
Operation Monitoring,Technical Skills,55,48,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,55
Judgement and Decision Making,Systems Skills,54,48,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,54
Active learning ,Basic Skills,53,48,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,53
Writing,Basic Skills,53,47,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,53
Systems Analysis,Systems Skills,53,44,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,53
Time Management,Resource Management Skills,52,44,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,52
Quality Control Analysis,Technical Skills,52,49,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,52
Coordination,Social Skills,51,45,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,51
Systems Evaluation,Systems Skills,49,45,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,49
Equipment Maintenance,Technical Skills,49,Not available,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,49
Repairing,Technical Skills,49,44,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,49
Instructing,Social Skills,46,46,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,46
Social Perceptiveness,Social Skills,46,40,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,46
Operation and Control,Technical Skills,45,42,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,45
Science,Basic Skills,43,42,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,43
Learning Strategies,Basic Skills,42,41,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,42
Sevice Orientation,Social Skills,42,39,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,42
Equipment Selection,Technical Skills,42,43,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,42
Persuasion,Social Skills,41,41,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,41
Management of Personnel Resources,Resource Management Skills,40,40,17-3023.00,Electrical and Electronic Engineering Technologists and Technician,40
Reading Comprehension,Basic Skills,56,45,51-2022.00,Electrical and Electronic Equipment Assembler,56
Judgement and Decision Making,Systems Skills,53,37,51-2022.00,Electrical and Electronic Equipment Assembler,53
Operation Monitoring,Technical Skills,53,43,51-2022.00,Electrical and Electronic Equipment Assembler,53
Active Listening ,Basic Skills,50,41,51-2022.00,Electrical and Electronic Equipment Assembler,50
Critical Thinking,Basic Skills,50,43,51-2022.00,Electrical and Electronic Equipment Assembler,50
Coordination,Social Skills,50,41,51-2022.00,Electrical and Electronic Equipment Assembler,50
Speaking,Basic Skills,47,39,51-2022.00,Electrical and Electronic Equipment Assembler,47
Writing,Basic Skills,47,37,51-2022.00,Electrical and Electronic Equipment Assembler,47
Time Management,Resource Management Skills,47,39,51-2022.00,Electrical and Electronic Equipment Assembler,47
Operation and Control,Technical Skills,47,41,51-2022.00,Electrical and Electronic Equipment Assembler,47
Quality Control Analysis,Technical Skills,47,36,51-2022.00,Electrical and Electronic Equipment Assembler,47
Active learning ,Basic Skills,41,39,51-2022.00,Electrical and Electronic Equipment Assembler,41
Social Perceptiveness,Social Skills,41,36,51-2022.00,Electrical and Electronic Equipment Assembler,41
Complex Problem Solving,Complex Problem Solving,41,36,51-2022.00,Electrical and Electronic Equipment Assembler,41
Speaking,Basic Skills,67,46,17-3012.00,Electrical and Electronics Drafter,67
Active Listening ,Basic Skills,66,54,17-3012.00,Electrical and Electronics Drafter,66
Reading Comprehension,Basic Skills,66,54,17-3012.00,Electrical and Electronics Drafter,66
Critical Thinking,Basic Skills,58,50,17-3012.00,Electrical and Electronics Drafter,58
Writing,Basic Skills,55,48,17-3012.00,Electrical and Electronics Drafter,55
Judgement and Decision Making,Systems Skills,52,42,17-3012.00,Electrical and Electronics Drafter,52
Operations Analysis,Technical Skills,52,43,17-3012.00,Electrical and Electronics Drafter,52
Coordination,Social Skills,50,42,17-3012.00,Electrical and Electronics Drafter,50
Complex Problem Solving,Complex Problem Solving,50,45,17-3012.00,Electrical and Electronics Drafter,50
Systems Analysis,Systems Skills,50,43,17-3012.00,Electrical and Electronics Drafter,50
Active learning ,Basic Skills,49,45,17-3012.00,Electrical and Electronics Drafter,49
Time Management,Resource Management Skills,49,42,17-3012.00,Electrical and Electronics Drafter,49
Social Perceptiveness,Social Skills,47,39,17-3012.00,Electrical and Electronics Drafter,47
Instructing,Social Skills,44,40,17-3012.00,Electrical and Electronics Drafter,44
Persuasion,Social Skills,44,39,17-3012.00,Electrical and Electronics Drafter,44
Systems Evaluation,Systems Skills,44,41,17-3012.00,Electrical and Electronics Drafter,44
Critical Thinking,Basic Skills,66,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",66
Active Listening ,Basic Skills,60,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",60
Operation Monitoring,Technical Skills,56,45,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",56
Quality Control Analysis,Technical Skills,56,46,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",56
Reading Comprehension,Basic Skills,53,45,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",53
Complex Problem Solving,Complex Problem Solving,53,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",53
Repairing,Technical Skills,53,45,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",53
Speaking,Basic Skills,50,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Writing,Basic Skills,50,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Coordination,Social Skills,50,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Social Perceptiveness,Social Skills,50,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Time Management,Resource Management Skills,50,45,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Judgement and Decision Making,Systems Skills,50,41,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Equipment Maintenance,Technical Skills,50,43,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Operation and Control,Technical Skills,50,36,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Troubleshooting,Technical Skills,50,46,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",50
Persuasion,Social Skills,47,39,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",47
Installation,Technical Skills,44,34,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",44
Equipment Selection,Technical Skills,41,32,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",41
Operation Monitoring,Technical Skills,72,57,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",72
Quality Control Analysis,Technical Skills,72,57,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",72
Repairing,Technical Skills,72,55,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",72
Troubleshooting,Technical Skills,69,55,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",69
